data_coleta,farmacia,ean,produto,marca,preco_regular,preco_pix,preco_cartao,desconto,status_estoque,url
2026-05-03,Vera Cruz,7896004721903,Acetato de Dexametasona Creme 1mg/g EMS 10g,Ems,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/creme-acetato-de-dexametasona-1mgg-10g/p
2026-05-03,Vera Cruz,7891317461089,Amoxicilina + Clavulanato De Potássio 875 + 125Mg Frasco Com 20 Comprimidos,Eurofarma,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/amoxicilina-clavulanato-de-potassio-875-125mg-frasco-com-20-comprimidos/p
2026-05-03,Vera Cruz,7891045008204,"MINESSE - 0,06mcg + 0,015mg, 24 comprimidos revestidos",Wyeth,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/minesse-006mcg-0015mg-24-comprimidos-revestidos/p
2026-05-03,Vera Cruz,7896658026065,Trezor 5mg 30 comprimidos,Ache,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/trezor-5mg-30-comprimidos/p
2026-05-03,Vera Cruz,40141188359,Alfajor Dr Peanut Doce De Leite Com Cobertura De Chocolate Branco 55g,Max Titanium,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/alfajor-dr-peanut-doce-de-leite-com-cobertura-de-chocolate-branco-55g/p
2026-05-03,Vera Cruz,7896094921474,Benegrip Imuno Complex 30 cápsulas gelatinosas,Hypera,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/suplemento-alimentar-benegrip-imuno-complex-30-capsulas-gelatinosas/p
2026-05-03,Vera Cruz,7896094999336,Suplemento Alimentar Vitasay Imune D 20 comprimidos efervecentes,Vitasay,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/suplemento-alimentar-vitasay-imune-d-20-comprimidos-efervecentes/p
2026-05-03,Vera Cruz,7896004715766,Ampicilina 50mg/ml 1 Frasco Com 60ml de Pó Para Suspensão de Uso Oral,Ems,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/ampicilina-50mgml-1-frasco-com-60ml-de-po-para-suspensao-de-uso-oral/p
2026-05-03,Vera Cruz,7896006225744,Cloridrato de Clindamicina 300mg União Química 16 Cápsulas Gelatinosas Duras,União Química,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/cloridrato-de-clindamicina-300mg-uniao-quimica-16-capsulas-gelatinosas-duras/p
2026-05-03,Vera Cruz,8902220116214,Neblock 5mg 60 comprimidos,Torrent,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/neblock-5mg-60-comprimidos/p
2026-05-03,Vera Cruz,7896094202757,"Cardilol 3,125mg 30 comprimidos",Libbs,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/cardilol-3125mg-30-comprimidos/p
2026-05-03,Vera Cruz,7896094918634,Addera D3 1.000 UI Gotas 5ml,Hypera,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/vitamina-d3-addera-d3-1000-ui-gotas-5ml/p
2026-05-03,Vera Cruz,7899941203006,Pre Workout Égide Sabor Frutas Silvestres Max Titanium 300g,Max Titanium,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/pre-workout-egide-sabor-frutas-silvestres-max-titanium-300g/p
2026-05-03,Vera Cruz,7896382708183,Basaglar KwikPen 100UI/ml 5 canetas aplicadoras descartáveis com refis de 3ml,Eli Lilly,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/basaglar-kwikpen-100uiml-5-canetas-aplicadoras-descartaveis-com-refis-de-3ml/p
2026-05-03,Vera Cruz,6970165152927,Anel Peniano K-Toys Cimed 1 Unidade,Cimed,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/anel-peniano-k-toys-cimed-1un/p
2026-05-03,Vera Cruz,7896004716541,Aceclofenaco 15mg/g Germed Creme 30g,Germed,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Disponível,https://www.drogariaveracruz.com.br/aceclofenaco-15mgg-germed-creme-30g/p
2026-05-03,Vera Cruz,7896004746388,"Cloridrato De Venlafaxina - 75Mg, 30 Cápsulas Gelatinosas Duras De Liberação Prolongada",Ems,Consultar Site,Consultar Site,Consultar Site,Consultar Site,Fora de Estoque,https://www.drogariaveracruz.com.br/cloridrato-de-venlafaxina-75mg-30-capsulas-gelatinosas-duras-de-liberacao-prolongada/p
